SWV ITM Data Console - ITM Port: 0
C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -4145, Y = -917, Z = 14036
Gyro Offsets: X = -466, Y = 163, Z = -193
ax, ay, az, gx, gy, gz
-0.0070, -0.0019, 0.0054, -0.1908, -1.5038, 0.7176
-0.0038, 0.0003, -0.0081, -0.9084, -2.4046, 2.4580
-0.0019, -0.0007, -0.0024, -0.4275, -2.9466, 1.0382
-0.0078, -0.0053, -0.0015, -0.6794, -1.5191, 2.2443
0.0005, -0.0002, -0.0029, -0.6718, -0.9160, 1.8015
-0.0046, 0.0003, 0.0039, -0.4122, 0.8321, 1.1069
0.0023, 0.0015, 0.0010, 0.3359, 1.3053, -1.0229
-0.0012, 0.0074, 0.0078, 0.2901, 1.6183, -0.5725
-0.0097, 0.0228, -0.0020, 0.2824, 1.1069, -1.0153
-0.0141, 0.0184, -0.0046, 0.8702, -0.5115, -3.2901
-0.0112, 0.0103, 0.0029, 0.0534, -0.2824, -0.7557
0.0025, 0.0059, 0.0049, 0.0305, 0.0840, -0.2595
-0.0073, 0.0027, 0.0046, 0.9389, -1.3511, -3.3588
0.0035, 0.0064, 0.0012, 0.6260, -0.1679, -2.4427
0.0013, 0.0047, -0.0061, 0.8779, -0.3588, -2.9618
-0.0043, -0.0019, 0.0088, 0.3588, -0.9466, -1.2901
0.0020, 0.0010, -0.0039, 0.3206, -2.1832, -1.0153
-0.0038, 0.0049, -0.0076, 0.1298, -1.8244, -0.1221
-0.0009, -0.0009, -0.0017, -0.1298, -1.7863, -0.0611
-0.0034, -0.0036, 0.0081, 0.0840, -0.7176, 0.1069
-0.0004, 0.0035, 0.0024, 0.2061, 0.0382, -1.1221
-0.0009, 0.0027, 0.0073, 0.7557, 0.0000, -2.2214
-0.0085, -0.0112, -0.0012, 0.4580, 1.2595, -1.4351
-0.0068, -0.0056, -0.0088, 0.1832, 1.4733, -0.0076
-0.0046, 0.0003, 0.0044, -0.0992, 1.0840, 0.1374
-0.0031, -0.0009, 0.0005, -0.1679, 0.4351, 0.2290
-0.0007, -0.0004, -0.0022, -0.0687, -1.0534, 0.2748
-0.0024, 0.0015, 0.0007, -0.1527, 0.2137, 0.1145
0.0027, 0.0003, -0.0059, -0.2748, -0.2443, 1.0305
-0.0070, 0.0086, -0.0010, -0.4504, -1.4885, 1.4122
-0.0019, -0.0024, 0.0054, -0.5191, -1.8931, 1.7634
-0.0075, 0.0010, 0.0037, 0.0000, -1.6107, 0.4580
0.0018, -0.0036, 0.0007, 0.0611, -0.8855, 0.2519
0.0008, 0.0015, 0.0017, -0.0611, 1.6336, 0.1756
-0.0019, 0.0018, 0.0002, -0.1145, 3.1374, 0.2443
