SWV ITM Data Console - ITM Port: 0
2C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -5674, Y = 614, Z = 11746
Gyro Offsets: X = -726, Y = -452, Z = -158
ax, ay, az, gx, gy, gz
0.2240, -0.0963, 0.1710, 2.0458, 4.2137, 0.1527
0.2255, -0.0939, 0.1622, 1.9924, 4.1527, -0.0916
0.2242, -0.0958, 0.1627, 1.9618, 4.2214, -0.1145
0.2206, -0.0988, 0.1725, 2.0687, 4.1374, -0.0916
0.2218, -0.0946, 0.1693, 2.1374, 3.9389, -0.1908
0.2223, -0.0970, 0.1644, 1.9389, 4.0916, -0.1908
0.2247, -0.0975, 0.1627, 1.9313, 4.7176, -0.3130
0.2267, -0.0951, 0.1681, 2.3893, 4.1145, -2.9389
0.2242, -0.1019, 0.1749, 2.0916, 4.2214, -0.5038
0.2299, -0.0919, 0.1678, 1.8168, 4.3282, -0.0611
0.2277, -0.0973, 0.1620, 2.1069, 4.2824, -0.4122
0.2301, -0.0963, 0.1637, 2.0153, 4.9160, -0.1221
0.2247, -0.0992, 0.1700, 2.1069, 4.2443, -0.1374
0.2316, -0.0970, 0.1561, 1.9847, 4.3130, -0.3130
0.2316, -0.0966, 0.1700, 1.5802, 1.9237, 2.8321
0.2247, -0.0973, 0.1688, 1.8855, 3.6718, -0.2672
0.2260, -0.0951, 0.1635, 2.0305, 3.8550, -0.0305
0.2296, -0.0887, 0.1666, 2.2214, 4.0687, 0.1298
0.2252, -0.0953, 0.1698, 1.8626, 4.5344, 0.2137
0.2274, -0.0939, 0.1718, 2.2672, 4.4962, -0.2672
0.2267, -0.0914, 0.1595, 1.9542, 4.3130, -0.7557
0.2347, -0.0997, 0.1627, 1.9847, 3.5954, 0.8321
0.2255, -0.0956, 0.1664, 2.1298, 4.1756, -0.4809
0.2306, -0.1027, 0.1661, 2.2366, 4.5954, -0.2519
0.2325, -0.0995, 0.1708, 1.9542, 4.9160, -0.1679
0.2274, -0.0897, 0.1688, 2.0000, 4.7252, -0.1374
0.2262, -0.0936, 0.1664, 2.0840, 4.0611, -0.2748
0.2277, -0.0897, 0.1688, 2.1832, 4.0153, -0.7634
0.2286, -0.0970, 0.1693, 2.0611, 4.1756, -0.5267
0.2289, -0.0931, 0.1642, 2.0229, 3.6031, -0.5420
0.2277, -0.0990, 0.1620, 2.0611, 3.6107, -0.4580
0.2308, -0.0997, 0.1659, 2.0305, 3.9695, -0.3206
0.2301, -0.0958, 0.1700, 1.9771, 4.0458, -0.4275
0.2323, -0.0966, 0.1793, 1.9695, 4.0153, -0.2290
0.2272, -0.0936, 0.1754, 2.2061, 4.1069, -0.3817
0.2284, -0.0973, 0.1654, 1.9466, 4.1298, -0.4275
0.2291, -0.0985, 0.1693, 2.0153, 3.8626, -0.1221
0.2208, -0.1002, 0.1674, 2.0382, 3.6870, -0.2901
0.2225, -0.0907, 0.1661, 2.0687, 3.6947, -0.2519
0.2343, -0.0895, 0.1683, 1.9237, 3.5573, -0.2290
0.2301, -0.0912, 0.1718, 2.0153, 3.7176, -0.1298
0.2247, -0.1041, 0.1652, 2.1221, 3.7099, -0.2290
0.2267, -0.0997, 0.1647, 1.9847, 3.8168, -0.0687
0.2328, -0.0941, 0.1666, 2.0611, 4.3053, -0.3053
0.2296, -0.1014, 0.1700, 1.9618, 4.1374, -0.0382
0.2323, -0.0919, 0.1771, 1.9542, 3.6870, -0.1298
0.2308, -0.1022, 0.1632, 2.0992, 3.5954, -0.2748
0.2345, -0.0958, 0.1666, 2.0458, 3.6489, -0.2214
0.2281, -0.1000, 0.1630, 2.1679, 3.8779, -0.1221
0.2267, -0.0946, 0.1674, 1.9389, 4.2672, -0.1374
0.2291, -0.0914, 0.1676, 2.0992, 4.6641, -0.0992
